Distributor,Region,City,Retailer,Store Code,Address,Latitude,Longitude,Phone,Blue Band Margarine,Lipton Yellow Label Tea,Royco Bouillon Cubes,Knorr Bouillon Cubes,OMO Detergent,Sunlight Washing Powder,Sunlight Dishwashing Liquid,Close-Up Toothpaste,Pepsodent Toothpaste,Lux Soap,Lifebuoy Soap,Rexona,Pears,Vaseline,Axe Body Spray
SUARA & CO.,Lagos,Ikeja,Best Supermarket,RET-LAG-1043,"131 Palm Street, Ikeja",6.599631,3.352803,2347328934149,108,58,236,169,175,16,74,13,170,212,46,216,44,72,112
SUARA & CO.,Lagos,Maryland,Royal Hub,RET-LAG-4514,"129 Unity Street, Maryland",6.558283,3.38717,2348734301948,156,18,22,118,62,166,122,42,13,72,103,63,202,79,157
SUARA & CO.,Lagos,Ajah,Mega Retail,RET-LAG-4297,"66 Kings Street, Ajah",6.461081,3.535969,2347203292566,227,199,17,16,168,28,141,193,129,188,137,73,201,194,234
SUARA & CO.,Lagos,Ogba,Market Hub,RET-LAG-4729,"103 Commercial Street, Ogba",6.648818,3.326831,2348900930715,192,203,138,76,224,198,15,71,44,82,52,14,130,158,156
SUARA & CO.,Lagos,Maryland,Prime Corner,RET-LAG-3333,"81 Allen Street, Maryland",6.593217,3.355827,2348127111777,84,192,105,102,11,155,234,150,19,152,173,91,239,122,103
SUARA & CO.,Lagos,Alimosho,Urban Corner,RET-LAG-1842,"125 Market Street, Alimosho",6.625044,3.304219,2347043040619,244,139,13,198,91,130,141,132,39,209,209,245,123,246,85
SUARA & CO.,Lagos,Ogba,Best Shop,RET-LAG-2035,"54 Kings Street, Ogba",6.642533,3.356588,2348547825755,193,116,244,205,34,200,122,201,109,42,67,208,214,143,133
SUARA & CO.,Lagos,Alimosho,Mega Corner,RET-LAG-1714,"88 Market Street, Alimosho",6.596152,3.276537,2347546687646,238,18,184,103,71,68,236,160,29,222,142,220,179,50,90
SUARA & CO.,Lagos,Apapa,Golden Bazaar,RET-LAG-9885,"19 Broad Street, Apapa",6.435021,3.378913,2348722187985,18,156,45,25,136,160,53,207,64,95,39,179,175,93,81
SUARA & CO.,Lagos,Ogba,Green Shop,RET-LAG-2883,"115 Market Street, Ogba",6.632332,3.346316,2347363706873,187,142,178,78,31,130,78,200,18,197,84,33,84,245,20
SUARA & CO.,Lagos,Maryland,Express Hub,RET-LAG-7613,"3 Unity Street, Maryland",6.589328,3.384414,2348432126101,10,138,38,149,19,92,132,138,164,234,184,181,43,113,185
SUARA & CO.,Lagos,Lekki,Value Hub,RET-LAG-7739,"101 Allen Street, Lekki",6.474646,3.579074,2348624232512,217,78,41,178,146,154,145,62,118,92,245,146,160,21,96
SUARA & CO.,Lagos,Ikeja,Daily Center,RET-LAG-3302,"150 Palm Street, Ikeja",6.585392,3.343,2347997038123,127,160,20,38,66,39,68,74,152,80,117,91,228,106,49
SUARA & CO.,Lagos,Ajah,City Retail,RET-LAG-8008,"44 Market Street, Ajah",6.466816,3.544232,2347452567701,20,184,177,72,129,180,41,26,116,114,58,94,194,16,112
SUARA & CO.,Lagos,Lekki,Family Mart,RET-LAG-4886,"9 Commercial Street, Lekki",6.48198,3.587455,2347581967531,129,73,202,74,117,18,182,178,69,195,128,205,71,187,227
SUARA & CO.,Lagos,Lekki,Family Mart,RET-LAG-8534,"25 Palm Street, Lekki",6.470592,3.600071,2349085380556,106,204,150,74,101,209,34,142,117,151,22,97,70,197,139
SUARA & CO.,Lagos,Ikeja,Daily Outlet,RET-LAG-6522,"21 Unity Street, Ikeja",6.584653,3.345926,2347030670505,139,75,143,179,212,29,145,228,45,245,137,211,46,97,38
SUARA & CO.,Lagos,Alimosho,Smart Stores,RET-LAG-2935,"4 Broad Street, Alimosho",6.597022,3.287246,2347117082669,69,132,202,237,114,99,88,158,136,198,226,214,30,23,96
SUARA & CO.,Lagos,Ogba,Family Center,RET-LAG-5486,"2 Allen Street, Ogba",6.657668,3.326583,2347517249575,92,57,180,93,106,204,186,79,232,235,63,176,82,156,143
SUARA & CO.,Lagos,Ajah,Prime Supermarket,RET-LAG-1514,"114 Broad Street, Ajah",6.476873,3.54947,2348427398435,190,206,220,184,105,174,94,24,146,146,140,87,80,212,184
SUARA & CO.,Lagos,Ajah,Best Hub,RET-LAG-1748,"148 Palm Street, Ajah",6.458963,3.522316,2347794014707,62,172,55,139,35,223,110,131,104,122,234,245,149,230,73
SUARA & CO.,Lagos,Alimosho,Elite Bazaar,RET-LAG-7990,"118 Market Street, Alimosho",6.613373,3.293959,2348759635699,62,58,225,91,52,25,124,213,33,125,12,197,216,249,102
SUARA & CO.,Lagos,Alimosho,Daily Center,RET-LAG-9685,"66 Unity Street, Alimosho",6.591149,3.301687,2348964221948,72,206,52,94,186,203,80,226,176,165,227,17,49,40,42
SUARA & CO.,Lagos,Ajah,Fresh Stores,RET-LAG-2778,"97 Commercial Street, Ajah",6.45093,3.525344,2347302976602,187,139,225,43,32,119,30,59,171,189,189,250,205,135,82
SUARA & CO.,Lagos,Alimosho,Top Retail,RET-LAG-7682,"42 Kings Street, Alimosho",6.610839,3.277304,2347432171622,209,147,155,166,209,210,164,179,33,12,108,159,238,212,107
SUARA & CO.,Lagos,Festac,Fresh Hub,RET-LAG-7481,"130 Broad Street, Festac",6.458285,3.30012,2348982126449,149,70,60,185,149,30,45,175,187,232,163,196,155,118,195
SUARA & CO.,Lagos,Ikeja,Best Retail,RET-LAG-5806,"116 Palm Street, Ikeja",6.586677,3.338557,2347706024421,189,219,222,182,237,129,24,245,86,84,203,209,115,31,217
SUARA & CO.,Lagos,Apapa,Royal Bazaar,RET-LAG-9576,"45 Unity Street, Apapa",6.433087,3.356939,2347845354686,13,203,209,55,187,118,61,31,137,46,242,243,166,217,97
SUARA & CO.,Lagos,Ikorodu,Top Shop,RET-LAG-4957,"126 Kings Street, Ikorodu",6.609724,3.501799,2348509602464,21,13,209,96,138,117,133,194,197,131,124,195,76,15,250
SUARA & CO.,Lagos,Festac,Super Mart,RET-LAG-3835,"34 Unity Street, Festac",6.45937,3.29789,2348354787222,158,97,227,78,170,57,156,112,176,148,103,217,104,54,39
SUARA & CO.,Lagos,Maryland,Express Bazaar,RET-LAG-1020,"116 Broad Street, Maryland",6.588755,3.384237,2348327047557,134,122,179,53,104,81,230,18,31,250,199,169,218,58,54
SUARA & CO.,Lagos,Ikorodu,Express Outlet,RET-LAG-8880,"68 Market Street, Ikorodu",6.608523,3.518355,2348574812137,213,40,246,31,128,125,136,161,244,77,63,13,240,85,235
SUARA & CO.,Lagos,Yaba,Top Corner,RET-LAG-8394,"103 Market Street, Yaba",6.491985,3.364989,2347674603693,90,229,136,121,132,226,41,39,223,20,39,115,246,226,70
SUARA & CO.,Lagos,Yaba,City Corner,RET-LAG-1008,"58 Commercial Street, Yaba",6.521257,3.373874,2348706041227,48,55,172,111,134,165,214,78,245,153,51,175,213,35,169
SUARA & CO.,Lagos,Ogba,Mega Center,RET-LAG-7095,"82 Palm Street, Ogba",6.652629,3.352809,2348150011062,69,194,59,26,170,16,161,10,38,250,144,156,30,198,185
SUARA & CO.,Lagos,Apapa,Green Supermarket,RET-LAG-2523,"100 Market Street, Apapa",6.449794,3.355958,2348663094824,100,165,173,73,100,223,119,23,226,61,79,45,191,181,240
SUARA & CO.,Lagos,Ajah,Unity Outlet,RET-LAG-3974,"110 Commercial Street, Ajah",6.469819,3.539808,2348922551726,72,84,83,18,201,232,76,55,155,161,100,132,141,107,47
SUARA & CO.,Lagos,Apapa,Family Outlet,RET-LAG-9101,"40 Market Street, Apapa",6.436309,3.367748,2347973720143,168,186,48,116,103,179,16,100,113,28,118,63,250,170,233
SUARA & CO.,Lagos,Ikorodu,City Shop,RET-LAG-8852,"5 Commercial Street, Ikorodu",6.607375,3.50156,2348951378843,85,141,239,22,93,68,114,14,81,61,140,170,77,154,34
SUARA & CO.,Lagos,Ogba,Best Center,RET-LAG-7629,"56 Broad Street, Ogba",6.630024,3.342034,2348511080594,100,213,224,129,192,31,45,27,200,109,130,30,142,10,117
SUARA & CO.,Lagos,Surulere,Family Corner,RET-LAG-1468,"110 Broad Street, Surulere",6.487047,3.341637,2348953881189,60,69,21,201,35,198,77,16,14,187,145,193,200,206,235
SUARA & CO.,Lagos,Ikorodu,Best Bazaar,RET-LAG-7507,"83 Allen Street, Ikorodu",6.613025,3.51302,2349028043743,15,170,36,156,176,104,247,28,119,160,156,243,57,62,34
SUARA & CO.,Lagos,Yaba,City Bazaar,RET-LAG-3735,"131 Palm Street, Yaba",6.490493,3.364468,2347867949278,72,183,122,201,196,44,26,167,102,105,29,82,116,38,114
SUARA & CO.,Lagos,Yaba,Market Retail,RET-LAG-6548,"75 Commercial Street, Yaba",6.498064,3.352116,2347149515700,156,81,179,199,12,162,214,72,79,175,31,218,195,102,249
SUARA & CO.,Lagos,Festac,Market Bazaar,RET-LAG-7977,"54 Allen Street, Festac",6.467287,3.271047,2348214496720,95,51,47,24,19,242,246,21,204,185,164,55,114,201,30
SUARA & CO.,Lagos,Lekki,Market Shop,RET-LAG-4649,"18 Palm Street, Lekki",6.458353,3.583547,2348743358951,83,242,37,217,113,74,83,22,244,240,127,182,245,96,240
SUARA & CO.,Lagos,Yaba,Family Stores,RET-LAG-1795,"39 Broad Street, Yaba",6.502952,3.367488,2347279393277,209,48,228,118,77,209,51,22,53,143,134,187,97,198,200
SUARA & CO.,Lagos,Yaba,Daily Mart,RET-LAG-3912,"51 Allen Street, Yaba",6.519736,3.365095,2347726064503,157,216,201,195,46,173,165,236,216,108,158,104,88,81,69
SUARA & CO.,Lagos,Ogba,Value Corner,RET-LAG-6916,"134 Commercial Street, Ogba",6.64206,3.352285,2348683571108,184,111,193,235,156,47,89,53,35,241,235,245,91,121,49
SUARA & CO.,Lagos,Yaba,Prime Hub,RET-LAG-7048,"127 Palm Street, Yaba",6.499901,3.389044,2347714811748,222,206,234,133,31,47,193,162,180,174,145,55,195,98,196
RENUZI VENTURES,North East,Maiduguri,Super Supermarket,RET-NOR-1247,"62 Commercial Street, Maiduguri",11.820597,13.13509,2348384646294,107,96,198,197,203,52,115,239,237,221,161,148,221,89,76
RENUZI VENTURES,North East,Yola,Express Bazaar,RET-NOR-1324,"65 Commercial Street, Yola",9.195632,12.498218,2348987165480,75,193,34,151,15,211,204,104,181,11,172,177,203,20,213
RENUZI VENTURES,North East,Jalingo,Golden Outlet,RET-NOR-1645,"44 Kings Street, Jalingo",8.898354,11.361234,2347518652081,151,190,182,213,108,163,88,243,158,142,188,236,243,102,230
RENUZI VENTURES,North East,Bauchi,Golden Center,RET-NOR-6816,"89 Unity Street, Bauchi",10.308738,9.829434,2347715623450,15,215,40,134,158,154,136,199,65,89,113,43,124,175,80
RENUZI VENTURES,North East,Bauchi,Best Outlet,RET-NOR-4475,"31 Commercial Street, Bauchi",10.3304,9.829083,2348888443428,215,178,117,81,238,222,63,69,46,112,68,127,119,102,156
RENUZI VENTURES,North East,Jalingo,Elite Retail,RET-NOR-6994,"66 Commercial Street, Jalingo",8.90272,11.342908,2347422151164,100,84,247,152,194,218,136,73,215,59,172,63,149,21,177
RENUZI VENTURES,North East,Yola,Smart Supermarket,RET-NOR-2578,"71 Commercial Street, Yola",9.205644,12.466956,2347548554464,42,168,144,35,144,230,231,234,222,126,59,48,203,196,196
RENUZI VENTURES,North East,Maiduguri,Choice Stores,RET-NOR-3067,"63 Broad Street, Maiduguri",11.834616,13.159171,2348656573807,208,26,157,160,204,112,97,46,229,104,235,200,197,66,128
RENUZI VENTURES,North East,Bauchi,Elite Supermarket,RET-NOR-5320,"7 Broad Street, Bauchi",10.313155,9.85482,2348074353173,13,192,85,184,204,55,154,19,103,23,55,176,76,96,108
RENUZI VENTURES,North East,Bauchi,Smart Bazaar,RET-NOR-5414,"78 Kings Street, Bauchi",10.305652,9.829743,2348025210637,212,182,95,174,125,90,232,168,182,61,167,156,81,107,17
RENUZI VENTURES,North East,Yola,Market Center,RET-NOR-4491,"63 Kings Street, Yola",9.21637,12.481863,2347272843477,88,83,76,95,202,71,167,203,41,24,135,129,95,210,56
RENUZI VENTURES,North East,Bauchi,Best Shop,RET-NOR-5573,"82 Allen Street, Bauchi",10.324212,9.832859,2347798462847,43,40,198,54,98,134,27,159,123,41,16,88,233,121,205
RENUZI VENTURES,North East,Maiduguri,Top Mart,RET-NOR-1155,"14 Market Street, Maiduguri",11.841072,13.154506,2348620188166,20,46,248,239,50,193,213,121,183,182,220,74,40,224,45
RENUZI VENTURES,North East,Yola,Market Corner,RET-NOR-5664,"25 Market Street, Yola",9.211396,12.488326,2347652791775,185,228,47,237,134,46,51,211,235,192,113,214,241,89,170
RENUZI VENTURES,North East,Jalingo,Smart Outlet,RET-NOR-1524,"43 Allen Street, Jalingo",8.886998,11.369017,2348767687579,165,207,21,23,165,55,54,61,112,126,217,241,197,117,26
RENUZI VENTURES,North East,Maiduguri,Prime Corner,RET-NOR-2047,"78 Commercial Street, Maiduguri",11.840715,13.154429,2347664485966,158,243,24,85,232,53,117,247,86,11,90,76,94,241,169
RENUZI VENTURES,North East,Maiduguri,Super Center,RET-NOR-9138,"93 Unity Street, Maiduguri",11.815787,13.15596,2347594352905,183,26,24,127,160,160,115,121,209,143,238,29,218,188,115
RENUZI VENTURES,North East,Yola,Family Outlet,RET-NOR-6048,"139 Market Street, Yola",9.203188,12.467838,2347557602564,226,195,34,95,202,28,222,243,155,154,176,104,21,75,19
RENUZI VENTURES,North East,Bauchi,Fresh Retail,RET-NOR-8985,"81 Broad Street, Bauchi",10.302711,9.85688,2347876270737,235,153,224,105,78,48,194,121,70,89,82,193,187,180,241
RENUZI VENTURES,North East,Bauchi,Prime Supermarket,RET-NOR-6563,"40 Allen Street, Bauchi",10.32208,9.847624,2348545445778,198,98,29,147,216,23,219,182,181,46,232,177,166,131,65
RENUZI VENTURES,North East,Maiduguri,Urban Center,RET-NOR-9450,"119 Allen Street, Maiduguri",11.85064,13.135076,2348636973489,205,238,12,125,228,10,235,25,130,201,178,58,73,223,82
RENUZI VENTURES,North East,Bauchi,Daily Supermarket,RET-NOR-2574,"19 Palm Street, Bauchi",10.324938,9.844688,2348052311552,192,204,200,199,110,189,240,115,86,204,217,71,153,18,28
RENUZI VENTURES,North East,Maiduguri,Green Mart,RET-NOR-8534,"121 Palm Street, Maiduguri",11.84629,13.159744,2347332676122,49,82,228,137,186,15,194,77,33,112,133,167,141,173,91
RENUZI VENTURES,North East,Yola,Urban Retail,RET-NOR-7328,"47 Unity Street, Yola",9.220472,12.500518,2348586433578,194,51,161,195,164,209,113,130,232,214,23,107,27,80,105
RENUZI VENTURES,North East,Maiduguri,Fresh Bazaar,RET-NOR-6233,"123 Palm Street, Maiduguri",11.836934,13.147358,2347030760669,234,106,39,189,26,218,218,234,138,77,14,157,25,22,190
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Market Mart,RET-NOR-3612,"29 Unity Street, Jalingo",8.886262,11.350408,2348478243932,222,37,204,238,14,207,237,246,72,103,37,221,197,176,92
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Royal Shop,RET-NOR-6287,"130 Commercial Street, Jalingo",8.878567,11.340225,2347837426745,81,19,160,81,181,84,212,250,23,176,208,100,22,198,80
WHARTON BUSINESS SOLUTIONS,North East,Yola,Express Center,RET-NOR-1515,"130 Market Street, Yola",9.214682,12.479958,2347728513345,158,41,59,199,246,135,36,136,88,232,191,170,31,83,50
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Unity Hub,RET-NOR-9073,"72 Market Street, Bauchi",10.330542,9.851722,2348553095280,202,238,24,106,12,87,159,179,35,75,107,120,54,242,27
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Urban Stores,RET-NOR-2706,"32 Commercial Street, Jalingo",8.909715,11.361119,2347914796823,194,218,55,231,137,83,163,130,95,84,233,212,219,223,229
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Urban Corner,RET-NOR-8202,"10 Commercial Street, Bauchi",10.317199,9.830655,2348847485696,230,141,177,96,200,214,248,113,193,68,200,61,98,54,84
